CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-03-10 04:56:19.6441386,C:\Users\Default\NTUSER.DAT,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Users\Default\NTUSER.DAT,262144,6E6FDF4FED8D0418B0F21B9768DC945CCF20FBF1,False,2022-05-07 05:17:22.6317749,2025-03-09 06:16:31.8867712,2025-03-10 03:26:17.1639447,00:00:00
2025-03-10 04:56:19.6754677,C:\users\Default\NTUSER.DAT.LOG1,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\users\Default\NTUSER.DAT.LOG1,40960,216DC98172038B600B7BB68B2481008424AE1F40,False,2022-05-07 05:17:22.7411355,2022-05-07 05:17:22.7411355,2025-03-10 03:26:17.2109821,00:00:00
2025-03-10 04:56:19.6913586,C:\users\Default\NTUSER.DAT.LOG2,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\users\Default\NTUSER.DAT.LOG2,36864,902E08B41DFAB16237DFFFC2B0E50462477B2018,False,2022-05-07 05:17:22.7411355,2022-05-07 05:17:22.7411355,2025-03-10 03:26:17.2109821,00:00:00.0158909
2025-03-10 04:56:19.7065192,C:\Windows\System32\config\SAM.LOG1,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\SAM.LOG1,65536,88DBC11A152B93106158CD0AF2B23D6CEC037E30,True,2022-05-07 05:17:22.6943608,2022-05-07 05:17:22.6943608,2022-05-07 05:17:22.6943608,00:00:00
2025-03-10 04:56:19.7065192,C:\Windows\System32\config\SAM.LOG2,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\SAM.LOG2,49152,AADC3C0AEEBE28C04D601A123BE1B50E72A1A866,True,2022-05-07 05:17:22.6943608,2022-05-07 05:17:22.6943608,2022-05-07 05:17:22.6943608,00:00:00
2025-03-10 04:56:19.7226152,C:\Windows\System32\config\SECURITY.LOG1,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\SECURITY.LOG1,72704,1BAA065E383D5EC269B55340AEB9E51CF5A47984,True,2022-05-07 05:17:22.6786341,2022-05-07 05:17:22.6786341,2022-05-07 05:17:22.6786341,00:00:00.0160960
2025-03-10 04:56:19.7226152,C:\Windows\System32\config\SECURITY.LOG2,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\SECURITY.LOG2,0,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,True,2022-05-07 05:17:22.6786341,2022-05-07 05:17:22.6786341,2022-05-07 05:17:22.6786341,00:00:00
2025-03-10 04:56:20.3079609,C:\Windows\System32\config\SOFTWARE.LOG1,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\SOFTWARE.LOG1,18284544,A70550D45507E841AB2124B616EAE32B0409F9F6,True,2022-05-07 05:17:22.6473797,2022-05-07 05:17:22.6473797,2022-05-07 05:17:22.6473797,00:00:00.0413818
2025-03-10 04:56:20.5076038,C:\Windows\System32\config\SOFTWARE.LOG2,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\SOFTWARE.LOG2,6946816,B7A3277F3115AA0F112A62969675A6FBA526744B,True,2022-05-07 05:17:22.6473797,2022-05-07 05:17:22.6473797,2022-05-07 05:17:22.6473797,00:00:00.0107041
2025-03-10 04:56:20.6830254,C:\Windows\System32\config\SYSTEM.LOG1,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\SYSTEM.LOG1,4419584,6AC7ED892650E56D2915E5FCED1F9EF609EA7760,True,2022-05-07 05:17:22.6630092,2022-05-07 05:17:22.6630092,2022-05-07 05:17:22.6630092,00:00:00.0097836
2025-03-10 04:56:20.8286588,C:\Windows\System32\config\SYSTEM.LOG2,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\SYSTEM.LOG2,3744768,4A967CA4646CB2EE4BE760E3D8FD55D13B528D67,True,2022-05-07 05:17:22.6630092,2022-05-07 05:17:22.6630092,2022-05-07 05:17:22.6630092,00:00:00.0121991
