CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\$Recycle.Bin\S-1-5-21-3772742331-1108507784-3781162965-1001\$R8K47U9.exe,AppCompatCache,2020-10-23 22:17:48.0000000
1,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\$WINDOWS.~BT\Sources\SetupDiag.exe,AppCompatCache,2025-02-08 00:26:04.0000000
2,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\lab3FINALVersion - Copy\KAPE\kape.exe,AppCompatCache,2020-10-23 22:17:50.0000000
3,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\lab3FINALVersion - Copy\KAPE\gkape.exe,AppCompatCache,2020-10-23 22:17:48.0000000
4,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\lab3FINALVersion - Copy\RECmd.exe,AppCompatCache,2025-02-20 05:18:05.4320877
5,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000b09c500070000	0000000000000000	8664	Microsoft.ScreenSketch	8wekyb3d8bbwe	,AppCompatCache,
6,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2501.7.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe,AppCompatCache,2025-03-09 08:50:51.8807146
7,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000b09c500070000	000a000055f00000	8664	Microsoft.ScreenSketch	8wekyb3d8bbwe	,AppCompatCache,
8,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\lab3FINALVersion\KAPE\kape.exe,AppCompatCache,2020-10-23 22:17:50.0000000
9,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\lab3FINALVersion\KAPE\gkape.exe,AppCompatCache,2020-10-23 22:17:48.0000000
10,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\lab3FINALVersion\KAPE\KAPE\kape\KAPE\kape.exe,AppCompatCache,2020-10-23 22:17:50.0000000
11,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\lab3FINALVersion\KAPE\KAPE\kape\KAPE\gkape.exe,AppCompatCache,2020-10-23 22:17:48.0000000
12,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\WerFault.exe,AppCompatCache,2025-02-20 06:56:59.8176853
13,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\lab3FINALVersion\RECmd.exe,AppCompatCache,2025-02-20 05:18:05.4320877
