KeyName,BatchKeyPath,Filename,BatchValueName,LastDetectionTime
DiagnosedApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\DiagnosedApplications\Code.exe,Code.exe,Multiple,2025-02-23 21:13:56.1275861
DiagnosedApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\DiagnosedApplications\msedge.exe,msedge.exe,Multiple,2025-02-24 05:02:15.1875202
DiagnosedApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\DiagnosedApplications\python3.13.exe,python3.13.exe,Multiple,2025-03-09 03:11:09.2430552
DiagnosedApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\DiagnosedApplications\TiWorker.exe,TiWorker.exe,Multiple,2025-02-19 22:55:58.4999436
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\csrss.exe,csrss.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\dwm.exe,dwm.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\explorer.exe,explorer.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\gadgethost.exe,gadgethost.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\mobsync.exe,mobsync.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\msascui.exe,msascui.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\sidebar.exe,sidebar.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\splwow64.exe,splwow64.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\winlogon.exe,winlogon.exe,Multiple,
