Timestamp,BatchKeyPath,KeyName,BatchValueName,DisplayName,DisplayVersion,Publisher,InstallDate,InstallSource,InstallLocation,UninstallString
2025-02-19 08:14:31.4715019,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\7-Zip,7-Zip,Multiple,7-Zip 24.09 (x64),24.09,Igor Pavlov,,,C:\Program Files\7-Zip\,"""C:\Program Files\7-Zip\Uninstall.exe"""
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2022-05-07 07:39:44.0937594,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime,DXM_Runtime,Multiple,,,,,,,
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2025-02-24 13:34:49.2001212,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\HxD_is1,HxD_is1,Multiple,HxD Hex Editor 2.5,2.5,Maël Hörz,20250224,,C:\Program Files\HxD\,"""C:\Program Files\HxD\unins000.exe"""
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2022-05-07 07:39:44.0937594,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\MPlayer2,MPlayer2,Multiple,,,,,,,
2025-02-05 00:08:27.9987173,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\mstsc-4b0a31aa-df6a-4307-9b47-d5cc50009643,mstsc-4b0a31aa-df6a-4307-9b47-d5cc50009643,Multiple,,,Microsoft Corporation,,,C:\Windows\System32\,"""C:\Windows\System32\mstsc.exe"" /uninstall"
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\SchedulingAgent,SchedulingAgent,Multiple,,,,,,,
2022-05-07 05:27:59.5729300,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\WIC,WIC,Multiple,,,,,,,
2025-02-04 08:36:08.6000747,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{0025DD72-A959-45B5-A0A3-7EFEB15A8050},{0025DD72-A959-45B5-A0A3-7EFEB15A8050},Multiple,Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532,14.36.32532,Microsoft Corporation,20250204,C:\ProgramData\Package Cache\{0025DD72-A959-45B5-A0A3-7EFEB15A8050}v14.36.32532\packages\vcRuntimeAdditional_amd64\,,MsiExec.exe /I{0025DD72-A959-45B5-A0A3-7EFEB15A8050}
2025-02-20 06:54:23.8035805,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{0EA9922E-4285-4927-B2CE-8698286A1683},{0EA9922E-4285-4927-B2CE-8698286A1683},Multiple,Microsoft .NET Runtime - 9.0.2 (x64),72.8.27978,Microsoft Corporation,20250219,C:\ProgramData\Package Cache\{0EA9922E-4285-4927-B2CE-8698286A1683}v72.8.27978\,,MsiExec.exe /X{0EA9922E-4285-4927-B2CE-8698286A1683}
2025-03-09 12:26:43.7121255,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{18D93BBC-06F6-449D-96FB-CD473CFC6A6D},{18D93BBC-06F6-449D-96FB-CD473CFC6A6D},Multiple,Python 3.7.0 Standard Library (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{18D93BBC-06F6-449D-96FB-CD473CFC6A6D}v3.7.150.0\,,MsiExec.exe /I{18D93BBC-06F6-449D-96FB-CD473CFC6A6D}
2025-02-04 08:37:03.0640487,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{6070BE95-B84D-40FE-8ABD-C70B59F5A164},{6070BE95-B84D-40FE-8ABD-C70B59F5A164},Multiple,VMware Tools,12.4.5.23787635,"VMware, Inc.",20250204,C:\Program Files\Common Files\VMware\InstallerCache\,C:\Program Files\VMware\VMware Tools\,MsiExec.exe /I{6070BE95-B84D-40FE-8ABD-C70B59F5A164}
2025-03-09 12:26:41.2816787,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{61246987-8D99-44A9-8FF5-E2E3F503B72D},{61246987-8D99-44A9-8FF5-E2E3F503B72D},Multiple,Python 3.7.0 Development Libraries (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{61246987-8D99-44A9-8FF5-E2E3F503B72D}v3.7.150.0\,,MsiExec.exe /I{61246987-8D99-44A9-8FF5-E2E3F503B72D}
2025-03-09 12:26:41.5473545,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{84B7971A-F59F-4247-AD34-BEC02CF85FBD},{84B7971A-F59F-4247-AD34-BEC02CF85FBD},Multiple,Python 3.7.0 Executables (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{84B7971A-F59F-4247-AD34-BEC02CF85FBD}v3.7.150.0\,,MsiExec.exe /I{84B7971A-F59F-4247-AD34-BEC02CF85FBD}
2025-03-09 12:26:51.0355705,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{8A6F7991-1955-4C46-8C0C-8D7C6F7042FA},{8A6F7991-1955-4C46-8C0C-8D7C6F7042FA},Multiple,Python 3.7.0 pip Bootstrap (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{8A6F7991-1955-4C46-8C0C-8D7C6F7042FA}v3.7.150.0\,,MsiExec.exe /I{8A6F7991-1955-4C46-8C0C-8D7C6F7042FA}
2025-03-09 12:26:47.5846031,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{9E24E01B-CBD8-4558-A56D-6188F1A3C822},{9E24E01B-CBD8-4558-A56D-6188F1A3C822},Multiple,Python 3.7.0 Utility Scripts (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{9E24E01B-CBD8-4558-A56D-6188F1A3C822}v3.7.150.0\,,MsiExec.exe /I{9E24E01B-CBD8-4558-A56D-6188F1A3C822}
2025-03-09 12:26:58.1309823,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{A03DCA8A-AAD0-4A25-8CE0-D50D73797233},{A03DCA8A-AAD0-4A25-8CE0-D50D73797233},Multiple,Python 3.7.0 Add to Path (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{A03DCA8A-AAD0-4A25-8CE0-D50D73797233}v3.7.150.0\,,MsiExec.exe /I{A03DCA8A-AAD0-4A25-8CE0-D50D73797233}
