HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,WinLogon,System Info,ROOT\Microsoft\Windows NT\CurrentVersion\Winlogon,LastUsedUsername,RegSz,hans,,,Displays the username of the last user logged in to this system,False,False,2025-03-09 11:40:27.5590513,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,WinLogon,System Info,ROOT\Microsoft\Windows NT\CurrentVersion\Winlogon,AutoLogonSID,RegSz,S-1-5-21-3772742331-1108507784-3781162965-1001,,,Displays the SID of the user who is set to auto login to Windows,False,False,2025-03-09 11:40:27.5590513,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,LogonUI,System Info,ROOT\Microsoft\Windows\CurrentVersion\Authentication\LogonUI,LastLoggedOnUser,RegSz,.\hans,,,Displays the last logged on SAM user,False,False,2025-03-09 13:37:24.2157201,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,LogonUI,System Info,ROOT\Microsoft\Windows\CurrentVersion\Authentication\LogonUI,LastLoggedOnSAMUser,RegSz,.\hans,,,Displays the last logged on user,False,False,2025-03-09 13:37:24.2157201,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,LogonUI,System Info,ROOT\Microsoft\Windows\CurrentVersion\Authentication\LogonUI,SelectedUserSID,RegSz,S-1-5-21-3772742331-1108507784-3781162965-1001,,,Displays the selected user's SID,False,False,2025-03-09 13:37:24.2157201,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,LogonUI,System Info,ROOT\Microsoft\Windows\CurrentVersion\Authentication\LogonUI,LastLoggedOnUserSID,RegSz,S-1-5-21-3772742331-1108507784-3781162965-1001,,,Displays the last logged on user's SID,False,False,2025-03-09 13:37:24.2157201,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,Network Connections,System Info,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList,Multiple,(plugin),Name: Network 2 Type: Wired,First Connect LOCAL: 2025-03-08 21:53:56.4990000 Last Connect LOCAL: 2025-03-09 18:35:22.1660000,Gateway MAC: 00-50-56-E4-37-7B,Displays list of network connections,False,False,2025-03-09 11:40:27.1055142,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_KnownNetworks__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,Network Connections,System Info,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList,Multiple,(plugin),Name: Network Type: Wired,First Connect LOCAL: 2025-02-04 00:10:50.0680000 Last Connect LOCAL: 2025-02-26 21:25:43.8090000,Gateway MAC: 00-50-56-E5-E0-63,Displays list of network connections,False,False,2025-03-09 11:40:27.1055142,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_KnownNetworks__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,LogonBanner,System Info,ROOT\Microsoft\Windows\CurrentVersion\Policies\System,legalnoticecaption,RegSz,,,,Legal text caption that is displayed to a user before logon,False,False,2025-02-05 00:09:00.8430044,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,LogonBanner,System Info,ROOT\Microsoft\Windows\CurrentVersion\Policies\System,legalnoticetext,RegSz,,,,Legal text displayed to the user for acknowledgment before logon,False,False,2025-02-05 00:09:00.8430044,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,LogonBanner,System Info,ROOT\Microsoft\Windows NT\CurrentVersion\Winlogon,LegalNoticeCaption,RegSz,,,,Legal text caption that is displayed to a user before logon,False,False,2025-03-09 11:40:27.5590513,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,LogonBanner,System Info,ROOT\Microsoft\Windows NT\CurrentVersion\Winlogon,LegalNoticeText,RegSz,,,,Legal text displayed to the user for acknowledgment before logon,False,False,2025-03-09 11:40:27.5590513,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,SystemRoot,RegSz,C:\Windows,,,Current location of %SystemRoot% Environment Variable,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,RegisteredOwner,RegSz,hans,,,Current registered owner,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,RegisteredOrganization,RegSz,,,,Current registered organization,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,DisplayVersion,RegSz,23H2,,,Current milestone update version,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,InstallTime,RegQword,2025-02-04 08:10:51.5593411,,,Current OS install time,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,ProductName,RegSz,Windows 10 Pro,,,Current OS name,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,InstallDate,RegDword,2025-02-04 08:10:51.0000000,,,Current OS install date,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,InstallationType,RegSz,Client,,,Current OS installation type,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,EditionID,RegSz,Professional,,,Current OS version and install info,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,CurrentMajorVersionNumber,RegDword,10,,,Current OS version and install info,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,CurrentBuildNumber,RegSz,22631,,,Current OS version and install info,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,CurrentBuild,RegSz,22631,,,Current OS build information,False,False,2025-03-09 11:40:27.6055197,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,ROOT\Microsoft\Windows NT\CurrentVersion,CompositionEditionID,RegSz,Enterprise,,,Current OS license type,False,False,2025-03-09 11:40:27.6055197,
