CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\mode.com,AppCompatCache,2022-05-07 05:20:03.8422281
1,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\print.exe,AppCompatCache,2022-05-07 05:20:03.8422281
2,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\RECmd\RECmd\RECmd.exe,AppCompatCache,2025-01-15 20:21:33.3854481
3,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000b096c00100000	0000000000000000	8664	Microsoft.WindowsNotepad	8wekyb3d8bbwe	,AppCompatCache,
4,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000b096c00100000	000a0000585d0000	8664	Microsoft.WindowsNotepad	8wekyb3d8bbwe	,AppCompatCache,
5,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.025.0209.0001\OneDriveLauncher.exe,AppCompatCache,2025-03-09 05:54:32.3896928
6,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.423.302.0.exe,AppCompatCache,2025-03-09 10:01:21.7446885
7,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25010.11-0\MpCmdRun.exe,AppCompatCache,2025-03-09 06:04:24.9040000
8,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\is-NKHUE.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,AppCompatCache,2025-03-09 09:53:13.9356585
9,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	07e92b0c2af90000	000a0000585d0000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,AppCompatCache,
10,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d0ca3	000a000000000000	8664	Microsoft.LockApp	cw5n1h2txyewy	,AppCompatCache,
11,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	57e5057900070000	000a000065f40000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	,AppCompatCache,
12,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d09ca	0000000000000000	8664	Microsoft.Windows.ContentDeliveryManager	cw5n1h2txyewy	neutral,AppCompatCache,
13,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d09ca	000a000000000000	8664	Microsoft.Windows.ContentDeliveryManager	cw5n1h2txyewy	neutral,AppCompatCache,
14,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.YourPhone_0.25012.107.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2025-03-09 08:49:55.0348611
