Program,BatchKeyPath,ExecutionTime,BatchValueName
\Device\HarddiskVolume3\Windows\System32\csrss.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-18,2025-03-09 12:01:25.3759799,\Device\HarddiskVolume3\Windows\System32\csrss.exe
Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1000,2025-02-04 08:25:15.7932225,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy
Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1000,2025-02-04 08:25:15.7932225,Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy
MicrosoftWindows.Client.CBS_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 11:40:33.8155067,MicrosoftWindows.Client.CBS_cw5n1h2txyewy
Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 11:40:33.8778354,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 11:45:35.1095068,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
Microsoft.LockApp_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 13:37:20.5204171,Microsoft.LockApp_cw5n1h2txyewy
Microsoft.XboxGamingOverlay_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 06:03:09.5143345,Microsoft.XboxGamingOverlay_8wekyb3d8bbwe
windows.immersivecontrolpanel_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:05:00.0360980,windows.immersivecontrolpanel_cw5n1h2txyewy
Microsoft.SecHealthUI_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-02-04 09:13:35.3920411,Microsoft.SecHealthUI_8wekyb3d8bbwe
