Program,BatchKeyPath,ExecutionTime,BatchValueName
\Device\HarddiskVolume3\Windows\System32\csrss.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-18,2025-03-10 04:54:21.1130081,\Device\HarddiskVolume3\Windows\System32\csrss.exe
Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1000,2025-02-04 08:25:15.7932225,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy
Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1000,2025-02-04 08:25:15.7932225,Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy
MicrosoftWindows.Client.CBS_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:59:18.6321613,MicrosoftWindows.Client.CBS_cw5n1h2txyewy
Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:54:28.7353629,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:59:46.1210019,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
Microsoft.LockApp_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:54:37.5920157,Microsoft.LockApp_cw5n1h2txyewy
Microsoft.XboxGamingOverlay_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 06:03:09.5143345,Microsoft.XboxGamingOverlay_8wekyb3d8bbwe
windows.immersivecontrolpanel_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:59:53.2293664,windows.immersivecontrolpanel_cw5n1h2txyewy
Microsoft.SecHealthUI_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-02-04 09:13:35.3920411,Microsoft.SecHealthUI_8wekyb3d8bbwe
\Device\HarddiskVolume3\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:54:29.4226495,\Device\HarddiskVolume3\Windows\explorer.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Programs\Microsoft VS Code\Code.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:57:31.1030682,\Device\HarddiskVolume3\Users\hans\AppData\Local\Programs\Microsoft VS Code\Code.exe
Microsoft.WindowsStore_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 01:37:04.5995982,Microsoft.WindowsStore_8wekyb3d8bbwe
Microsoft.WindowsTerminal_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 05:37:57.6660044,Microsoft.WindowsTerminal_8wekyb3d8bbwe
Microsoft.WindowsNotepad_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 05:26:01.0168302,Microsoft.WindowsNotepad_8wekyb3d8bbwe
Microsoft.Windows.Photos_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 09:32:47.5057401,Microsoft.Windows.Photos_8wekyb3d8bbwe
\Device\HarddiskVolume3\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 07:02:28.3200174,\Device\HarddiskVolume3\Windows\System32\cmd.exe
