HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SAM,Sam,User Accounts (SAM),User Accounts,CMI-CreateHive{C4E7BA2B-68E8-499C-B1A1-371AC8D717C7}\SAM\Domains\Account\Users,V,(plugin),Username: Administrator Id: 500 ValidUserId: True,"Created: 2025-02-04 09:02:59.6546158 Last login: 2010-11-21 03:47:20.9452429 Last password change: 2010-11-21 03:57:24.7150555 Last incorrect password:  Expires on: ","Account flags: AccountDisabled, NormalUserAccount, PasswordDoesNotExpire",User accounts in SAM hive,False,False,2025-02-04 09:02:50.6690000,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SAM\20250310062131\20250310062131_UserAccounts__SAM.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SAM,Sam,User Accounts (SAM),User Accounts,CMI-CreateHive{C4E7BA2B-68E8-499C-B1A1-371AC8D717C7}\SAM\Domains\Account\Users,V,(plugin),Username: Guest Id: 501 ValidUserId: True,"Created: 2025-02-04 09:02:59.6546158 Last login:  Last password change:  Last incorrect password:  Expires on: ","Account flags: AccountDisabled, PasswordNotRequired, NormalUserAccount, PasswordDoesNotExpire",User accounts in SAM hive,False,False,2025-02-04 09:02:50.6690000,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SAM\20250310062131\20250310062131_UserAccounts__SAM.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SAM,Sam,User Accounts (SAM),User Accounts,CMI-CreateHive{C4E7BA2B-68E8-499C-B1A1-371AC8D717C7}\SAM\Domains\Account\Users,V,(plugin),Username: mrkdqp Id: 1000 ValidUserId: True,"Created: 2025-02-04 09:02:50.6690000 Last login: 2025-03-10 06:00:31.4701975 Last password change: 2025-02-04 09:02:50.6846000 Last incorrect password: 2025-02-04 12:07:21.4599407 Expires on: ",Account flags: NormalUserAccount,User accounts in SAM hive,False,False,2025-02-04 09:02:50.6690000,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SAM\20250310062131\20250310062131_UserAccounts__SAM.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,CMI-CreateHive{C4E7BA2B-68E8-499C-B1A1-371AC8D717C7}\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Administrators,Comment: Administrators have complete and unrestricted access to the computer/domain,"Users: S-1-5-21-3271601533-2962133082-2800808169-500, S-1-5-21-3271601533-2962133082-2800808169-1000",Built-in accounts in SAM hive,False,False,2025-02-05 01:01:08.3868385,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SAM\20250310062131\20250310062131_SAMBuiltin__SAM.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,CMI-CreateHive{C4E7BA2B-68E8-499C-B1A1-371AC8D717C7}\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Users,Comment: Users are prevented from making accidental or intentional system-wide changes and can run most applications,"Users: S-1-5-4, S-1-5-11, S-1-5-21-3271601533-2962133082-2800808169-1000",Built-in accounts in SAM hive,False,False,2025-02-05 01:01:08.3868385,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SAM\20250310062131\20250310062131_SAMBuiltin__SAM.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,CMI-CreateHive{C4E7BA2B-68E8-499C-B1A1-371AC8D717C7}\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Guests,"Comment: Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted",Users: S-1-5-21-3271601533-2962133082-2800808169-501,Built-in accounts in SAM hive,False,False,2025-02-05 01:01:08.3868385,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SAM\20250310062131\20250310062131_SAMBuiltin__SAM.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,CMI-CreateHive{C4E7BA2B-68E8-499C-B1A1-371AC8D717C7}\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Power Users,Comment: Power Users are included for backwards compatibility and possess limited administrative powers,"Users: ",Built-in accounts in SAM hive,False,False,2025-02-05 01:01:08.3868385,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SAM\20250310062131\20250310062131_SAMBuiltin__SAM.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,CMI-CreateHive{C4E7BA2B-68E8-499C-B1A1-371AC8D717C7}\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Backup Operators,Comment: Backup Operators can override security restrictions for the sole purpose of backing up or restoring files,"Users: ",Built-in accounts in SAM hive,False,False,2025-02-05 01:01:08.3868385,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SAM\20250310062131\20250310062131_SAMBuiltin__SAM.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,CMI-CreateHive{C4E7BA2B-68E8-499C-B1A1-371AC8D717C7}\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Replicator,Comment: Supports file replication in a domain,"Users: ",Built-in accounts in SAM hive,False,False,2025-02-05 01:01:08.3868385,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SAM\20250310062131\20250310062131_SAMBuiltin__SAM.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,CMI-CreateHive{C4E7BA2B-68E8-499C-B1A1-371AC8D717C7}\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Remote Desktop Users,Comment: Members in this group are granted the right to logon remotely,"Users: ",Built-in accounts in SAM hive,False,False,2025-02-05 01:01:08.3868385,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SAM\20250310062131\20250310062131_SAMBuiltin__SAM.csv
