HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,WinLogon,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\Winlogon,AutoAdminLogon,RegSz,0,,,"Displays whether the system will automatically login a user as Admin, 0 = Disabled, 1 = Enabled",False,False,2025-03-10 05:59:14.1612117,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,WinLogon,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\Winlogon,DefaultUserName,RegSz,mrkdqp,,,Displays the default username the system will log in as,False,False,2025-03-10 05:59:14.1612117,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,LogonUI,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Authentication\LogonUI,LastLoggedOnUser,RegSz,.\mrkdqp,,,Displays the last logged on SAM user,False,False,2025-03-10 05:59:14.4888166,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,LogonUI,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Authentication\LogonUI,LastLoggedOnSAMUser,RegSz,WIN7\mrkdqp,,,Displays the last logged on user,False,False,2025-03-10 05:59:14.4888166,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,Network Connections,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\NetworkList,Multiple,(plugin),Name: Network  2 Type: Wired,First Connect LOCAL: 2025-03-09 19:35:59.2280000 Last Connect LOCAL: 2025-03-10 13:59:15.3140000,Gateway MAC: 00-50-56-E4-37-7B,Displays list of network connections,False,False,2025-02-05 01:01:56.5753231,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SOFTWARE\20250310062212\20250310062212_KnownNetworks__SOFTWARE.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,Network Connections,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\NetworkList,Multiple,(plugin),Name: Network Type: Wired,First Connect LOCAL: 2025-02-04 17:01:56.5750000 Last Connect LOCAL: 2025-02-04 21:53:35.2680000,Gateway MAC: 00-50-56-E5-E0-63,Displays list of network connections,False,False,2025-02-05 01:01:56.5753231,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\SOFTWARE\20250310062212\20250310062212_KnownNetworks__SOFTWARE.csv
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,LogonBanner,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Policies\System,legalnoticecaption,RegSz,,,,Legal text caption that is displayed to a user before logon,False,False,2009-07-14 05:01:33.1720741,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,LogonBanner,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Policies\System,legalnoticetext,RegSz,,,,Legal text displayed to the user for acknowledgment before logon,False,False,2009-07-14 05:01:33.1720741,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,LogonBanner,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\Winlogon,LegalNoticeCaption,RegSz,,,,Legal text caption that is displayed to a user before logon,False,False,2025-03-10 05:59:14.1612117,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,LogonBanner,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\Winlogon,LegalNoticeText,RegSz,,,,Legal text displayed to the user for acknowledgment before logon,False,False,2025-03-10 05:59:14.1612117,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,SystemRoot,RegSz,C:\Windows,,,Current location of %SystemRoot% Environment Variable,False,False,2025-02-04 09:03:00.3566170,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,RegisteredOwner,RegSz,Windows User,,,Current registered owner,False,False,2025-02-04 09:03:00.3566170,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,RegisteredOrganization,RegSz,,,,Current registered organization,False,False,2025-02-04 09:03:00.3566170,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,ProductName,RegSz,Windows 7 Professional,,,Current OS name,False,False,2025-02-04 09:03:00.3566170,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,InstallDate,RegDword,2025-02-04 09:03:00.0000000,,,Current OS install date,False,False,2025-02-04 09:03:00.3566170,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,InstallationType,RegSz,Client,,,Current OS installation type,False,False,2025-02-04 09:03:00.3566170,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,EditionID,RegSz,Professional,,,Current OS version and install info,False,False,2025-02-04 09:03:00.3566170,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,CurrentBuildNumber,RegSz,7601,,,Current OS version and install info,False,False,2025-02-04 09:03:00.3566170,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,CurrentBuild,RegSz,7601,,,Current OS build information,False,False,2025-02-04 09:03:00.3566170,
C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Windows\System32\config\SOFTWARE,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,BuildLab,RegSz,7601.win7sp1_rtm.101119-1850,,,Current OS build information,False,False,2025-02-04 09:03:00.3566170,
