Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
.NET CLR Data,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2009-07-14 04:49:01.5835883,,,,,
.NET CLR Networking,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2009-07-14 04:49:01.5835883,,,,,
.NET CLR Networking 4.0.0.0,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2025-03-10 06:02:52.1801362,,,,,
.NET Data Provider for Oracle,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2009-07-14 04:49:01.5835883,,,,,
.NET Data Provider for SqlServer,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2009-07-14 04:49:01.5835883,,,,,
.NET Memory Cache 4.0,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2025-03-10 06:02:52.2141382,,,,,
.NETFramework,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2009-07-14 04:49:01.5835883,,,,,
1394ohci,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,1394 OHCI Compliant Host Controller,Manual,KernelDriver,2010-11-21 03:29:32.8362940,,,\SystemRoot\system32\drivers\1394ohci.sys,,
ACPI,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Microsoft ACPI Driver,Boot,KernelDriver,2025-03-10 05:59:07.5468000,2009-07-14 04:49:01.5835883,Boot Bus Extender,system32\drivers\ACPI.sys,,
AcpiPmi,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,ACPI Power Meter Driver,Manual,KernelDriver,2010-11-21 03:29:32.8362940,,,\SystemRoot\system32\drivers\acpipmi.sys,,
adp94xx,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0092413,2009-07-14 04:49:01.5835883,SCSI Miniport,\SystemRoot\system32\drivers\adp94xx.sys,,
adpahci,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0248413,2009-07-14 04:49:01.5835883,SCSI Miniport,\SystemRoot\system32\drivers\adpahci.sys,,
adpu320,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0092413,2009-07-14 04:49:01.5835883,SCSI Miniport,\SystemRoot\system32\drivers\adpu320.sys,,
adsi,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2009-07-14 04:49:01.5835883,,,,,
AeLookupSvc,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\aelupsvc.dll,-2",None,"@%SystemRoot%\system32\aelupsvc.dll,-1",Manual,Win32ShareProcess,2009-07-14 04:49:01.5835883,2009-07-14 04:49:01.5835883,,%systemroot%\system32\svchost.exe -k netsvcs,%SystemRoot%\System32\aelupsvc.dll,SeTcbPrivilege SeImpersonatePrivilege
AFD,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\drivers\afd.sys,-1000",None,"@%systemroot%\system32\drivers\afd.sys,-1000",System,KernelDriver,2025-03-10 05:59:07.5312000,2009-07-14 04:49:01.5835883,PNP_TDI,\SystemRoot\system32\drivers\afd.sys,,
agp440,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Intel AGP Bus Filter,Manual,KernelDriver,2010-11-21 03:29:32.8362940,,PnP Filter,\SystemRoot\system32\drivers\agp440.sys,,
ALG,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\Alg.exe,-113",None,"@%SystemRoot%\system32\Alg.exe,-112",Manual,Win32OwnProcess,2009-07-14 04:49:01.5835883,,,%SystemRoot%\System32\alg.exe,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
aliide,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0404414,,System Bus Extender,\SystemRoot\system32\drivers\aliide.sys,,
amdide,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0716414,,System Bus Extender,\SystemRoot\system32\drivers\amdide.sys,,
AmdK8,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,AMD K8 Processor Driver,Manual,KernelDriver,2010-11-21 03:58:19.2215512,,Extended Base,\SystemRoot\system32\drivers\amdk8.sys,,
AmdPPM,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,AMD Processor Driver,Manual,KernelDriver,2010-11-21 03:58:19.2839513,,Extended Base,\SystemRoot\system32\drivers\amdppm.sys,,
amdsata,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0872414,2010-11-21 03:29:32.8362940,SCSI miniport,\SystemRoot\system32\drivers\amdsata.sys,,
amdsbs,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0872414,2009-07-14 04:49:01.5835883,SCSI Miniport,\SystemRoot\system32\drivers\amdsbs.sys,,
amdxata,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Boot,KernelDriver,2010-11-21 03:29:32.8362940,,SCSI miniport,system32\drivers\amdxata.sys,,
AppID,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\appidsvc.dll,-103",None,"@%systemroot%\system32\appidsvc.dll,-102",Manual,KernelDriver,2009-07-14 04:49:01.5835883,2009-07-14 04:54:39.3189472,,\SystemRoot\system32\drivers\appid.sys,,
AppIDSvc,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\appidsvc.dll,-101",None,"@%systemroot%\system32\appidsvc.dll,-100",Manual,Win32ShareProcess,2009-07-14 04:49:01.5835883,2009-07-14 04:49:01.5835883,ProfSvc_Group,%SystemRoot%\system32\svchost.exe -k LocalServiceAndNoImpersonation,%SystemRoot%\System32\appidsvc.dll,SeChangeNotifyPrivilege
Appinfo,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\appinfo.dll,-101",None,"@%systemroot%\system32\appinfo.dll,-100",Manual,Win32ShareProcess,2009-07-14 04:49:01.5835883,2009-07-14 04:49:01.5835883,,%SystemRoot%\system32\svchost.exe -k netsvcs,%SystemRoot%\System32\appinfo.dll,SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege SeTcbPrivilege SeBackupPrivilege SeRestorePrivilege SeDebugPrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeImpersonatePrivilege
AppMgmt,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@appmgmts.dll,-3251",None,"@appmgmts.dll,-3250",Manual,Win32ShareProcess,2011-04-12 08:28:48.0268043,2011-04-12 08:28:45.9796542,,%SystemRoot%\system32\svchost.exe -k netsvcs,%SystemRoot%\System32\appmgmts.dll,SeCreateGlobalPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeShutdownPrivilege SeTakeOwnershipPrivilege
arc,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0092413,2009-07-14 04:49:01.5835883,SCSI Miniport,\SystemRoot\system32\drivers\arc.sys,,
arcsas,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0092413,2009-07-14 04:49:01.5835883,SCSI miniport,\SystemRoot\system32\drivers\arcsas.sys,,
ASP.NET,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2025-03-10 06:02:56.1073608,,,,,
ASP.NET_4.0.30319,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2025-03-10 06:02:55.6993375,,,,,
aspnet_state,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"Provides support for out-of-process session states for ASP.NET. If this service is stopped, out-of-process requests will not be processed. If this service is disabled, any services that explicitly depend on it will fail to start.",None,ASP.NET State Service,Disabled,Win32OwnProcess,2025-03-10 06:02:55.6863368,2025-03-10 06:02:55.6273334,,%SystemRoot%\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe,,
AsyncMac,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\rascfg.dll,-32000",None,"@%systemroot%\system32\rascfg.dll,-32000",Manual,KernelDriver,2025-02-04 09:03:01.6358192,,,system32\DRIVERS\asyncmac.sys,,
atapi,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,IDE Channel,Boot,KernelDriver,2025-03-10 05:59:09.4656034,,SCSI Miniport,system32\drivers\atapi.sys,,
AudioEndpointBuilder,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\System32\audiosrv.dll,-205",None,"@%SystemRoot%\system32\audiosrv.dll,-204",Automatic,Win32ShareProcess,2009-07-14 04:49:01.5835883,2009-07-14 04:49:01.5835883,AudioGroup,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted,%SystemRoot%\System32\Audiosrv.dll,SeChangeNotifyPrivilege
AudioSrv,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\System32\audiosrv.dll,-201",None,"@%SystemRoot%\system32\audiosrv.dll,-200",Automatic,Win32ShareProcess,2009-07-14 04:49:01.5835883,2009-07-14 04:49:01.5835883,AudioGroup,%SystemRoot%\System32\svchost.exe -k LocalServiceNetworkRestricted,%SystemRoot%\System32\Audiosrv.dll,SeChangeNotifyPrivilege SeImpersonatePrivilege SeIncreaseWorkingSetPrivilege
