KeyName,BatchKeyPath,SerialNumber,BatchValueName,ParentidPrefix,Service,DeviceDesc,FriendlyName,DeviceName,LocationInformation,Installed,FirstInstalled,LastConnected,LastRemoved
ROOT_HUB,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Enum\USB\ROOT_HUB\5&3bb57b&0,5&3bb57b&0,Multiple,6&b77da92&0,usbhub,USB Root Hub,,,,,,,
ROOT_HUB20,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Enum\USB\ROOT_HUB20\5&299e1c9f&0,5&299e1c9f&0,Multiple,6&103465e1&0,usbhub,USB Root Hub,,,,,,,
VID_0000&PID_0000,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Enum\USB\VID_0000&PID_0000\6&103465e1&0&1,6&103465e1&0&1,Multiple,,,Unknown Device,,,Port_#0001.Hub_#0002,,,,
VID_0E0F&PID_0002,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Enum\USB\VID_0E0F&PID_0002\6&b77da92&0&2,6&b77da92&0&2,Multiple,,usbhub,Generic USB Hub,,,Port_#0002.Hub_#0001,,,,
VID_0E0F&PID_0003,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Enum\USB\VID_0E0F&PID_0003\6&b77da92&0&1,6&b77da92&0&1,Multiple,7&2a7d3009&0,usbccgp,USB Composite Device,,,Port_#0001.Hub_#0001,,,,
VID_0E0F&PID_0003&MI_00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Enum\USB\VID_0E0F&PID_0003&MI_00\7&2a7d3009&0&0000,7&2a7d3009&0&0000,Multiple,8&17be0303&0,HidUsb,USB Input Device,,,0002.0000.0000.001.000.000.000.000.000,,,,
VID_0E0F&PID_0003&MI_01,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Enum\USB\VID_0E0F&PID_0003&MI_01\7&2a7d3009&0&0001,7&2a7d3009&0&0001,Multiple,8&2f818f48&0,HidUsb,USB Input Device,,,0002.0000.0000.001.000.000.000.000.000,,,,
ROOT_HUB,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet002\Enum\USB\ROOT_HUB\5&3bb57b&0,5&3bb57b&0,Multiple,6&b77da92&0,usbhub,USB Root Hub,,,,,,,
ROOT_HUB20,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet002\Enum\USB\ROOT_HUB20\5&299e1c9f&0,5&299e1c9f&0,Multiple,6&103465e1&0,usbhub,USB Root Hub,,,,,,,
VID_0000&PID_0000,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet002\Enum\USB\VID_0000&PID_0000\6&103465e1&0&1,6&103465e1&0&1,Multiple,,,Unknown Device,,,Port_#0001.Hub_#0002,,,,
VID_0E0F&PID_0002,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet002\Enum\USB\VID_0E0F&PID_0002\6&b77da92&0&2,6&b77da92&0&2,Multiple,,usbhub,Generic USB Hub,,,Port_#0002.Hub_#0001,,,,
VID_0E0F&PID_0003,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet002\Enum\USB\VID_0E0F&PID_0003\6&b77da92&0&1,6&b77da92&0&1,Multiple,7&2a7d3009&0,usbccgp,USB Composite Device,,,Port_#0001.Hub_#0001,,,,
VID_0E0F&PID_0003&MI_00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet002\Enum\USB\VID_0E0F&PID_0003&MI_00\7&2a7d3009&0&0000,7&2a7d3009&0&0000,Multiple,8&17be0303&0,HidUsb,USB Input Device,,,0002.0000.0000.001.000.000.000.000.000,,,,
VID_0E0F&PID_0003&MI_01,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet002\Enum\USB\VID_0E0F&PID_0003&MI_01\7&2a7d3009&0&0001,7&2a7d3009&0&0001,Multiple,8&2f818f48&0,HidUsb,USB Input Device,,,0002.0000.0000.001.000.000.000.000.000,,,,
